2024년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"20,793,738.44","1,859,817.75","1,743,998.84","1,553,562.16","1,469,744.12","1,412,344.74","1,593,738.36","1,898,747.30","2,267,596.64","2,134,620.09","1,643,931.84","1,508,942.73","1,706,693.87"
2,강남구,"2,056,327.05","193,000.65","178,282.12","157,433.04","142,600.26","136,846.31","158,240.24","190,291.49","221,851.26","202,260.12","157,305.71","145,054.22","173,161.63"
3,강동구,"721,012.11","63,409.32","59,870.67","53,131.73","50,632.50","48,209.39","54,397.67","65,414.54","80,302.33","75,877.03","57,961.24","52,747.80","59,057.89"
4,강북구,"386,540.95","35,459.67","34,150.60","29,379.19","27,955.98","25,678.07","28,529.42","33,901.03","42,330.67","41,377.15","30,214.36","26,961.94","30,602.87"
5,강서구,"1,131,849.81","100,054.57","93,517.32","83,533.14","79,473.55","76,595.46","83,136.40","104,765.62","124,449.77","118,275.58","91,044.49","83,306.85","93,697.05"
6,관악구,"766,559.23","68,208.16","66,014.86","57,358.33","55,224.44","51,325.99","57,326.55","67,525.05","84,367.17","81,585.35","61,739.09","55,034.07","60,850.17"
7,광진구,"591,626.08","51,858.16","48,754.24","43,521.62","40,921.37","39,548.47","46,097.97","54,570.87","67,473.05","63,338.34","46,282.20","41,589.42","47,670.36"
8,구로구,"863,125.88","78,596.99","72,938.16","64,011.08","59,949.01","58,044.45","65,281.78","76,685.42","92,367.77","85,763.40","64,443.61","74,380.67","70,663.54"
9,금천구,"754,269.73","68,134.85","61,809.79","56,989.51","53,035.70","52,457.38","58,819.16","69,289.20","80,427.30","73,454.87","59,032.05","55,588.86","65,231.05"
10,노원구,"627,307.54","58,934.75","54,751.06","47,842.83","45,605.87","42,045.84","47,274.05","55,199.80","68,317.56","64,283.04","47,885.38","44,111.31","51,056.06"
11,도봉구,"398,255.48","36,181.22","34,486.87","30,111.01","28,857.73","26,571.94","29,421.46","35,064.48","44,121.15","41,672.40","30,862.14","28,566.61","32,338.48"
12,동대문구,"597,806.70","54,333.08","51,988.47","45,192.64","42,505.07","39,408.60","44,161.99","53,010.11","64,269.66","63,592.93","48,348.14","42,497.88","48,498.13"
13,동작구,"556,813.42","49,192.42","46,249.27","41,080.03","39,291.12","37,399.55","42,386.48","49,913.70","62,145.18","59,327.21","44,579.81","40,116.76","45,131.90"
14,마포구,"1,031,719.06","91,542.50","84,830.18","77,199.51","72,613.65","72,156.37","81,320.32","95,439.82","112,736.37","104,757.88","81,597.23","73,737.86","83,787.36"
15,서대문구,"573,214.78","51,010.53","46,869.07","42,993.06","40,064.67","39,311.13","44,487.00","53,194.97","63,525.61","57,944.29","44,763.10","41,346.31","47,705.04"
16,서초구,"1,365,193.62","123,075.25","116,929.38","103,196.51","97,082.02","92,653.40","105,082.23","124,938.96","147,473.70","139,544.02","106,678.99","97,753.30","110,785.85"
17,성동구,"874,758.42","78,086.18","74,222.08","65,531.38","62,477.35","59,395.02","66,029.26","76,703.63","91,540.01","89,347.74","71,638.72","66,123.08","73,663.97"
18,성북구,"659,892.72","59,424.99","56,380.81","50,078.48","47,594.35","44,431.39","49,707.61","58,018.14","71,040.44","70,188.98","52,374.85","47,025.21","53,627.47"
19,송파구,"1,364,249.86","119,076.11","111,868.91","100,797.97","97,989.53","96,101.28","107,960.89","125,973.79","149,997.91","141,232.82","107,055.14","95,618.40","110,577.12"
20,양천구,"697,269.84","59,130.02","58,123.26","51,052.06","49,792.57","46,393.39","50,054.56","59,388.79","72,663.54","71,756.21","63,413.35","56,069.13","59,432.97"
21,영등포구,"1,183,709.91","102,043.26","94,372.74","86,373.89","82,809.75","81,868.01","93,316.36","114,200.50","132,125.65","120,286.61","94,973.19","85,339.02","96,000.92"
22,용산구,"661,059.44","56,996.75","53,849.73","48,425.41","46,510.76","45,542.69","52,210.02","61,566.27","72,923.01","68,962.91","52,679.33","47,904.65","53,487.92"
23,은평구,"655,732.90","57,730.81","55,655.40","49,358.27","47,434.13","44,335.94","48,584.03","57,883.92","73,082.42","70,136.61","52,209.12","47,188.54","52,133.73"
24,종로구,"747,424.27","68,354.64","62,896.38","56,219.60","52,185.68","50,790.55","59,300.28","70,579.24","80,579.25","74,307.74","57,277.77","52,585.02","62,348.12"
25,중구,"1,022,628.91","90,264.73","81,595.00","74,776.02","71,114.04","71,946.23","83,435.53","99,952.40","110,897.26","100,703.71","79,802.59","72,907.75","85,233.66"
26,중랑구,"505,390.73","45,718.17","43,592.46","37,975.87","36,023.03","33,287.88","37,177.11","45,275.57","56,588.59","54,643.14","39,770.22","35,388.06","39,950.62"
