2023년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"658,654.06","130,204.99","94,232.47","64,197.01","38,726.51","27,081.15","21,837.75","24,927.88","23,370.45","19,473.98","28,888.00","71,207.42","114,506.44"
2,강남구,"115,916.07","23,975.39","17,487.24","11,944.54","7,197.61","4,213.64","2,829.06","2,900.82","2,537.33","2,503.87","5,345.18","13,600.00","21,381.39"
3,강동구,"27,343.19","5,559.33","4,004.98","2,786.40","1,729.78","1,222.74",762.28,700.25,554.13,664.02,"1,327.83","3,027.32","5,004.12"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"82,514.13","14,562.78","10,675.30","7,152.76","4,052.56","3,472.03","3,942.58","5,905.12","6,078.87","3,681.39","3,063.38","7,502.13","12,425.24"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"6,850.66","1,424.27","1,032.71",679.34,396.52,274.05,219.75,231.79,216.33,191.71,267.94,692.42,"1,223.83"
9,금천구,831.42,191.38,134.93,89.13,51.78,27.80,13.56,11.40,8.61,10.78,32.29,97.78,161.98
10,노원구,"59,821.30","12,917.06","9,201.05","6,319.76","3,777.93","2,303.22","1,432.10","1,244.75",954.35,994.04,"2,679.17","6,885.60","11,112.27"
11,도봉구,"9,589.07","2,085.59","1,470.92","1,009.09",606.98,365.09,212.66,183.86,143.15,149.31,423.01,"1,120.07","1,819.34"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"52,519.64","6,470.99","4,842.24","3,802.24","2,991.79","3,585.79","3,919.41","4,640.37","4,694.47","3,969.73","3,228.67","4,321.85","6,052.10"
15,서대문구,"9,415.33","1,922.21","1,409.69",985.59,604.74,410.43,260.21,231.13,181.37,204.67,425.85,"1,055.09","1,724.35"
16,서초구,"48,394.17","10,101.60","7,396.45","5,074.59","3,113.13","1,800.29","1,117.04","1,031.67",838.46,929.54,"2,154.57","5,790.96","9,045.87"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"115,240.89","22,824.68","16,311.04","10,827.27","6,402.17","4,786.74","4,165.71","4,807.38","4,653.88","3,866.00","4,683.85","11,996.90","19,915.27"
20,양천구,"64,950.34","13,787.65","9,935.87","6,781.16","4,037.43","2,435.29","1,576.41","1,635.48","1,401.72","1,174.03","2,677.49","7,433.29","12,074.53"
21,영등포구,"20,585.46","5,078.30","3,537.73","2,052.73",934.35,455.26,296.49,263.56,219.73,247.18,560.12,"2,571.71","4,368.28"
22,용산구,"15,310.23","3,265.53","2,378.05","1,616.46",975.26,528.76,308.53,272.14,220.68,257.99,672.37,"1,865.59","2,948.87"
23,은평구,"18,498.80","3,809.71","2,817.60","1,974.03","1,181.26",761.84,497.25,447.36,379.06,410.71,867.78,"2,047.74","3,304.46"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"10,873.36","2,228.53","1,596.66","1,101.92",673.22,438.20,284.71,420.79,288.30,219.01,478.49,"1,198.97","1,944.56"
